Study ID,Flag Analysis,Flag Clean,Screener,Extractor,Title,Authors,Journal name,Publication year,DOI/URL,Abstract,Country of study,Country of first author's affiliation,Climatic zone,Ecosystem Type,Study site,Location coordinates,coordinate source,Location coordinates - CLEAN,UAV Platform Type,UAV Model,Sensor Type,Sensor Model,Spatial resolution,spatial_resolution_clean,Spatial extent,spatial_extent_clean,More on spatial study design,Time series ,Temporal duration,Temporal resolution,More on temporal study design,Altitude Above Ground Level (AGL),Variables calculated,Other data included,Research topic,Objectives of the study,Key findings of the study,Role of drone data in study,Associated protocols,Associated data/imagery,Associated code
54,,,HJ,LW,"UAV application for assessing rainforest structure in Ngoc Linh nature reserve, Vietnam",Dung Ngo et al.,E3S Web of Conferences,2020,10.1051/e3sconf/202020303006,"Classifying and evaluating the structure of tropical forest plant biomes based on up-to-date remote sensing data, remains a great challenge due to the species diversity, changes in the stages of seasonal growth. Remote sensing has long been a useful tool for classification and assessment of vegetation. For data from unmanned aerial vehicles (UAVs), the ability to receive high-resolution data also partly solves this problem. The development of vegetation based on natural conditions includes: topographic, geomorphology, geologic conditions, climate, human impacts. Based on the red-green-blue colour model (RGB) obtained from UAV, analysis of VARI (visible atmospherically resistant Index) and TGI (triangulation greenness index), combined with the development characteristics of each group and type of biomes on different topography and geologic types, the researchers were able to give some characteristics of some tropical forest vegetation in Ngoc Linh Nature Reserve, Kon Tum province, Vietnam.",Vietnam,Vietnam,Moist tropical,Forest,Ngoc Linh Nature Reserve,"15.098130968473278, 107.90512683783638",approximate,"15.098131, 107.905127",Multi-rotor,DJI Phantom 4 Advanced,RGB,Integrated 20 MP camera,~cm resolution,.01 m,not reported,,not reported,yes,Sept 2019 - May 2020,Seasonal (Rainy vs Dry),Comparison rainy (Sept 2019) vs dry (May 2020),not reported,VARI,TGI,Phenology,To analyze vegetation characteristics using UAV-derived TGI and VARI in tropical forests,TGI increased in dry season; canopy gaps decreased.,Collected RGB images to calculate TGI and VARI vegetation indices for phenology analysis.,not reported,NA,"Pix4Dmapper, ArcGIS"
64,,,HJ,LW,Intermediate-scale horizontal isoprene concentrations in the near-canopy forest atmosphere and implications for emission heterogeneity,"Carla E. Batista, Jianhuai Ye, Igor O. Ribeiro, Patricia C. Guimarães, Adan S. S. Medeiros, Rafael G. Barbosa, Rafael L. Oliveira, Sergio Duvoisin Jr., Kolby J. Jardine, Dasa Gu, Alex B. Guenther, Karena A. McKinney, Leila D. Martins, Rodrigo A. F. Souza, and Scot T. Martin",PNAS,2019,10.1073/pnas.1904154116,"The emissions, deposition, and chemistry of volatile organic compounds (VOCs) are thought to be influenced by underlying landscape heterogeneity at intermediate horizontal scales of several hundred meters across different forest subtypes within a tropical forest. Quantitative observations and scientific understanding at these scales, however, remain lacking, in large part due to a historical absence of canopy access and suitable observational approaches. Herein, horizontal heterogeneity in VOC concentrations in the near-canopy atmosphere was examined by sampling from an unmanned aerial vehicle (UAV) flown horizontally several hundred meters over the plateau and slope forests in central Amazonia during the morning and early afternoon periods of the wet season of 2018. Unlike terpene concentrations, the isoprene concentrations in the near-canopy atmosphere over the plateau forest were 60% greater than those over the slope forest. A gradient transport model constrained by the data suggests that isoprene emissions differed by 220 to 330% from these forest subtypes, which is in contrast to a 0% difference implemented in most present-day biosphere emissions models (i.e., homogeneous emissions). Quantifying VOC concentrations, emissions, and other processes at intermediate horizontal scales is essential for understanding the ecological and Earth system roles of VOCs and representing them in climate and air quality models.",Brazil,Brazil,Wet tropical,Forest,Adolfo Ducke Forest Reserve (Manaus),3.003° S 59.940° W; 2.997° S 59.936° W,from study,"-3.003000, -59.940000; -2.997000, -59.936000",Multi-rotor,DJI Matrice 600,Atmospheric sampler,Custom-built VOC sampler,not reported,,~711 m horizontal transect,,Sampling over plateau vs slope forests,no,4 weeks (Feb-Mar 2018),Hourly (09:00-13:30),4 cartridges sampled across week (4 hours each),near-canopy (altitude not explicitly stated),Atmospheric concentration,alpha-pinene,Carbon and nutrient fluxes,To examine horizontal heterogeneity in isoprene concentrations over different forest subtypes using UAV sampling,Isoprene concentrations were 60% higher over plateau than slope forest. Direct emissions from different forest subtypes indicated.,Collected air samples at different locations and heights over plateau and slope forest subtypes.,not reported,NA,not reported
67,,,HJ,LW,Vertical Profiles of Ozone Concentration Collected by an Unmanned Aerial Vehicle and the Mixing of the Nighttime Boundary Layer over an Amazonian Urban Area,Patrícia Guimarães et al.,Atmosphere,2019,10.3390/atmos10100599,"The nighttime boundary layer was studied in an urban area surrounded by tropical forest by use of a copter-type unmanned aerial vehicle (UAV) in central Amazonia during the wet season. Fifty-seven vertical profiles of ozone concentration, potential temperature, and specific humidity were collected from surface to 500 m above ground level (a.g.l.) at high vertical and temporal resolutions by use of embedded sensors on the UAV. Abrupt changes in ozone concentration with altitude served as a proxy of nighttime boundary layer (NBL) height for the case of a normal, undisturbed, stratified nighttime atmosphere, corresponding to 40% of the cases. The median height of the boundary layer was 300 m. A turbulent mixing NBL constituted 28% of the profiles, while the median height of the boundary layer was 290 m. The remaining 32% of profiles corresponded to complex atmospheres without clear boundary layer heights. The occurrence of the three different cases correlated well with relative cloud cover. The results show that the standard nighttime model widely implemented in chemical transport models holds just 40% of the time, suggesting new challenges in modeling of regional nighttime chemistry. The boundary layer heights were also somewhat higher than observed previously over forested and pasture areas in Amazonia, indicating the important effect of the urban heat island.",Brazil,Brazil,Wet tropical,Forest,Manaus (Urban area surrounded by forest),"3.0918° S, 60.0175° W",approximate,"-3.091800, -60.017500",Multi-rotor,DJI Matrice 600,Atmospheric sampler,2B Technologies Personal Ozone Monitor (POM),15 m vertical bins,15 m,Vertical profiles up to 500 m,,Vertical profiles (0-500m) over urban area surrounded by forest,no,Mar-May 2018,30-min intervals (night),57 flights over 9 nights (30 Mar - 11 May 2018),0-500 m AGL,Atmospheric concentration,"Potential temperature, Specific humidity",Carbon and nutrient fluxes,To investigate vertical profiles of nighttime ozone concentration in Amazonian boundary layer using UAV,Ozone profiles identified nighttime boundary layer height (median ~300m). Three NBL types identified.,"Collected vertical profiles of ozone concentration, temperature, and humidity in nocturnal boundary layer.",not reported,NA,not reported
73,,,HJ,LW,"Tree Stump Height Estimation Using Canopy Height Model at Tropical Forest in Ulu Jelai Forest Reserve, Pahang, Malaysia",Siti Nor Maizah Saad et al.,IOP Conference Series: Earth and Environmental Science,2020,10.1088/1755-1315/540/1/012015,"Assessing tree biomass is essential for observing carbon stock and forest biodiversity which are an important indicator in climate change monitoring. The most accurate assessment involved ground data collection, including its data processing. In certain condition, it is extremely challenging, due to the difficulties of accessing dense forest and variation of terrain, tedious and time-consuming. Therefore, due to these limitations, remote sensing might become a better approach in measuring this information. The focus of this study is to estimate the tree stump height for biomass estimation after selective logging practices. In this study, we utilize remotely sensed canopy height model (CHM) derived from Unmanned Aerial Vehicle (UAV) to quantify tree stump height after felling logs at a local scale. This study aims to investigate the feasibility of utilizing UAV imagery to derive a canopy height model (CHM) for preparing parameters in assessing timber tree biomass. CHM is the reference surface to derive statistics that will be used to estimate the forest variables. Data was obtained through UAV which flown at the logging compartment in Ulu Jelai Forest Reserve, Pahang, Malaysia. The estimated stump height obtained from this technique was compared with a measured stump on the ground. Based on scatterplot regression, it showed a significant relationship with a strong coefficient, R-2 of 0.8368. At this stage of the study, the performance of the result was not assessed since it is an only preliminary result and the study only focused on producing CHM for stump height estimation using the UAV platform only.",Malaysia,Malaysia,Wet tropical,Forest,"Ulu Jelai Forest Reserve, Pahang","4˚ 34' 25.17"" N, 101˚ 52' 25.08"" E",from study,"4.573658, 101.873633",Multi-rotor,DJI Phantom 3,RGB,Integrated camera,not reported,,not reported,,Selective logging compartments (159 and 124),no,5 days (Aug 19-23 2019),One time point,UAV compared to ground measurements,90-110 m AGL,Canopy Height Model; Canopy height,Stump height,Forest structure/dynamics,To estimate tree stump height using UAV-derived CHM for post-logging biomass assessment,Strong relationship (R2=0.84) between UAV-derived and ground-measured stump height.,Generated canopy height model (CHM) to estimate stump height for post-logging biomass assessment.,not reported,NA,not reported
75,,,HJ,LW,UAV data for multi-temporal Landsat analysis of historic reforestation: a case study in Costa Rica,"Andrew Marx, Donald McFarlane & Ahmed Alzahrani",International Journal of Remote Sensing,2017,10.1080/01431161.2017.1280637,"The use of the Landsat constellation to quantify historic deforestation and reforestation over time is well established. This analysis, however, requires ground-referenced data that is often inaccessible in remote areas or expensive if no existing high-resolution satellite imagery exists. In response, we evaluate the capability of unmanned aerial vehicle (UAV) imagery to serve as ground-reference data for identifying land-cover classes in Landsat imagery. We then apply these classes to quantify 30 years of historical deforestation and reforestation of an ecological reserve in Costa Rica. While spatial and spectral disparities between the sensors limit the generalization of the approach, our results demonstrate the ability of UAV and Landsat data to inexpensively classify a reserve's historic land cover over time and suggest an 11 year period for land cover to transition from pasture to secondary forest in lowland tropical environments.",Costa Rica,USA,Moist tropical,Forest,Firestone Center for Restoration Ecology (FCRE),"9.278344721604347, -83.86111813578779",from study,"9.278345, -83.861118",Multi-rotor,DJI Phantom 3 Advanced,RGB,GoPro (Integrated),13 cm,.13 m,60 ha,60 ha,60 ha reserve (FCRE) + adjacent lands,no,Single UAV flight (2016); Landsat 1986-2016,Annual (Landsat); One time (UAV),30 years Landsat; single UAV 2016,300 m AGL (also 120 m attempted),not reported,Pasture/Forest classification; Land cover classification,Forest structure/dynamics,To evaluate UAV imagery as ground-reference for multi-temporal Landsat reforestation analysis,UAV imagery enabled accurate (88%) classification of Landsat forest/pasture data.,Provided high-resolution ground truth imagery to train and validate Landsat forest/pasture classifier.,not reported,NA,not reported
81,,,HJ,LW,Estimating Structure and Biomass of a Secondary Atlantic Forest in Brazil Using Fourier Transforms of Vertical Profiles Derived from UAV Photogrammetry Point Clouds,André Almeida et al.,Remote Sensing,2020,10.3390/rs12213560,"Knowing the aboveground biomass (AGB) stock of tropical forests is one of the main requirements to guide programs for reducing emissions from deforestation and forest degradation (REDD+). Traditional 3D products generated with digital aerial photogrammetry (DAP) have shown great potential in estimating AGB, tree density, diameter at breast height, height, and basal area in forest ecosystems. However, these traditional products explore only a small part of the structural information contained in the 3D data, thus not leveraging the full potential of the data for inventory purposes. In this study, we tested the performance of 3D products derived from DAP and a technique based on Fourier transforms of vertical profiles of vegetation to estimate AGB, tree density, diameter at breast height, height, and basal area in a secondary fragment of Atlantic Forest located in northeast Brazil. Field measurements were taken in 30 permanent plots (0.25 ha each) to estimate AGB. At the time of the inventory, we also performed a digital aerial mapping of the entire forest fragment with an unmanned aerial vehicle (UAV). Based on the 3D point clouds and the digital terrain model (DTM) obtained by DAP, vertical vegetation profiles were produced for each plot. Using traditional structure metrics and metrics derived from Fourier transforms of profiles, regression models were fit to estimate AGB, tree density, diameter at breast height, height, and basal area. The 3D DAP point clouds represented the forest canopy with a high level of detail, regardless of the vegetation density. The metrics based on the Fourier transform of profiles were selected as predictors in all models produced. The best model for AGB explained 93% (R-2 = 0.93) of the biomass variation at the plot level, with an RMS error of 9.3 Mg ha(-1) (22.5%). Similar results were obtained in the models fit for the tree density, diameter at breast height, height, and basal area, with R-2 values above 0.90 and RMS errors of less than 18%. The use of Fourier transforms of profiles with 3D products obtained by DAP demonstrated a high potential for estimating AGB and other forest variables of interest in secondary tropical forests, highlighting the value of UAV as a low-cost tool to assist the implementation of REDD+ projects in developing countries like Brazil.",Brazil,Brazil,Moist tropical,Forest,"Secondary Atlantic Forest fragment (São Cristóvão, SE)","10°55' S, 37°11' W",from study,"-10.916667, -37.183333",Multi-rotor,DJI Phantom 4 PRO,RGB,"1"" CMOS 20M pixel",3.2 cm,.032 m,30 permanent plots (0.25 ha each) = 7.5 ha total,7.5 ha,Flights at time of inventory in 30 plots,no,One day (Sept 2018),One time point,Flights at time of inventory (Sept 2018),120 m AGL,Biomass Estimation; Tree Density; Canopy height,"Elevation, Slope, Solar illumination; Basal Area",Forest structure/dynamics,To estimate AGB and forest structural variables using DAP point clouds and Fourier transform metrics,Fourier metrics + DAP estimated AGB with R2=0.93.,Generated point clouds and DTM for extracting structural metrics using Fourier transform approach.,not reported,NA,Custom R scripts
85,,,HJ,LW,Mapping the Leaf Economic Spectrum across West African Tropical Forests Using UAV-Acquired Hyperspectral Imagery,Eleanor R. Thomson et al.,Remote Sensing,2018,10.3390/rs10101532,"The leaf economic spectrum (LES) describes a set of universal trade-offs between leaf mass per area (LMA), leaf nitrogen (N), leaf phosphorus (P) and leaf photosynthesis that influence patterns of primary productivity and nutrient cycling. Many questions regarding vegetation-climate feedbacks can be addressed with a better understanding of LES traits and their controls. Remote sensing offers enormous potential for generating large-scale LES trait data. Yet so far, canopy studies have been limited to imaging spectrometers onboard aircraft, which are rare, expensive to deploy and lack fine-scale resolution. In this study, we measured VNIR (visible-near infrared (400-1050 nm)) reflectance of individual sun and shade leaves in 7 one-ha tropical forest plots located along a 1200-2000 mm precipitation gradient in West Africa. We collected hyperspectral imaging data from 3 of the 7 plots, using an octocopter-based unmanned aerial vehicle (UAV), mounted with a hyperspectral mapping system (450-950 nm, 9 nm FWHM). Using partial least squares regression (PLSR), we found that the spectra of individual sun leaves demonstrated significant (p < 0.01) correlations with LMA and leaf chemical traits: r(2) = 0.42 (LMA), r(2) = 0.43 (N), r(2) = 0.21 (P), r(2) = 0.20 (leaf potassium (K)), r(2) = 0.23 (leaf calcium (Ca)) and r(2) = 0.14 (leaf magnesium (Mg)). Shade leaf spectra displayed stronger relationships with all leaf traits. At the airborne level, four of the six leaf traits demonstrated weak (p < 0.10) correlations with the UAV-collected spectra of 58 tree crowns: r(2) = 0.25 (LMA), r(2) = 0.22 (N), r(2) = 0.22 (P), and r(2) = 0.25 (Ca). From the airborne imaging data, we used LMA, N and P values to map the LES across the three plots, revealing precipitation and substrate as co-dominant drivers of trait distributions and relationships. Positive N-P correlations and LMA-P anticorrelations followed typical LES theory, but we found no classic trade-offs between LMA and N. Overall, this study demonstrates the application of UAVs to generating LES information and advancing the study and monitoring tropical forest functional diversity.",Ghana,UK,"Wet tropical, Moist tropical",Forest,"Ankasa Conservation Area, Bobiri Forest Reserve, Kogyae Strict Nature Reserve","5.2680, -2.6955; 6.6910, -1.3389; 7.3012, -1.1649",from study,"5.268000, -2.695500; 6.691000, -1.338900; 7.301200, -1.164900",Multi-rotor,Octocopter (custom),"RGB, Hyperspectral",WageningenUR HYMSY,3 cm (RGB); 20 cm (DSM); 50 cm (Hyperspectral),".03 m, .5 m",3 plots of 1 ha each (part of 7 total plots),3 ha,UAV data from 3 of 7 plots along precipitation gradient,no,March 2016,One time point,Single campaign March 2016,not reported,not reported,"Leaf Nitrogen, Phosphorus, Potassium, Calcium, Magnesium; Leaf traits",Carbon and nutrient fluxes,To map leaf economic spectrum traits using UAV hyperspectral data in West African forests,"UAV spectra predicted LMA and chemical traits (N, P, Ca) with moderate accuracy.",Collected hyperspectral canopy reflectance data for mapping leaf economic spectrum traits.,not reported,NA,not reported
87,,,HJ,LW,Monitoring vegetation dynamics with open earth observation tools: the case of fire-modulated savanna to forest transitions in Central Africa,"Sagang Takougoum Le Bienfaiteur, Ploton Pierre, Viennois Gaëlle, Féret Jean-Baptiste, Sonké Bonaventure, Couteron Pierre, Nicolas Barbier",Remote Sensing of Environment (implied),2022,10.1016/j.isprsjprs.2022.04.008,"Woody encroachment and forest progression are widespread in forest-savanna transitional areas in Central Africa. Quantifying these dynamics and understanding their drivers at relevant spatial scales has long been a challenge. Recent progress in open access imagery sources with improved spatial, spectral and temporal resolution combined with cloud computing resources, and the advent of relatively cheap solutions to deploy laser sensors in the field, have transformed this domain of study. We present a study case in the Mpem & Djim National Park (MDNP), a 1,000 km(2) protected area in the Centre region of Cameroon. Using open source algorithms in Google Earth Engine (GEE), we characterized vegetation dynamics and the fire regime based on Landsat multispectral imagery archive (1975-2020). Current species assemblages were estimated from Sentinel 2 imagery and the open source biodivMapR package, using spectral dissimilarity. Vegetation structure (aboveground biomass; AGB) was characterized using Unmanned Aerial vehicle (UAV) LiDAR scanning data sampled over the study area. Savanna vegetation, which was initially dominant in the MDNP, lost about 50% of its initial cover in <50 years in favor of forest at an average rate of ca. 0.63%.year(-1) (6 km(2).year(-1)). Species assemblage computed from spectral dissimilarity in forest vegetation followed a successional gradient consistent with forest age. AGB accumulation rate was 3.2 Mg.ha(-1).year(-1) after 42 years of forest encroachment. In savannas, two modes could be identified along the gradient of spectral species assemblage, corresponding to distinct AGB levels, where woody savannas with low fire frequency store 40% more AGB than open grassy savannas with high fire frequency. A fire occurrence every five year was found to be the fire regime threshold below which woody savannas start to dominate over grassy ones. A fire frequency below that threshold opens the way to young forest transitions. These results have implications for carbon sequestration and biodiversity conservation policies. Maintaining savanna ecosystems in the region would require active management actions to limit woody encroachment and forest progression, in contradiction with global reforestation goals.",Cameroon,Cameroon,Moist tropical,"Forest, Savanna",Mpem & Djim National Park,"5.163077892521734, 11.74507141052626",from study,"5.163078, 11.745071",Multi-rotor,DJI Matrice 600,LiDAR,Riegl mini VUX-1,1 m (CHM),1 m,"~300 ha (LiDAR), 1000 km2 (Satellite)",300 ha,LiDAR transects across forest-savanna gradient for AGB,no,Single LiDAR flight (2019); Landsat 1975-2020,Annual (Landsat); One time (LiDAR),Landsat 1975-2020; single LiDAR 2019,70 m AGL,Biomass Estimation,"Fire frequency, Species assemblage","Forest structure/dynamics, Carbon and nutrient fluxes","To quantify forest-savanna dynamics, fire regime, and AGB using Landsat archive and UAV LiDAR",Forest encroached savanna at 0.63%/yr. Fire frequency <5 yrs enables transition. AGB accumulation rate was 3.2 Mg/ha/yr.,UAV LiDAR used to map current AGB and calibrate/validate satellite-based biomass models.,not reported,GEE code and rasters available,GEE scripts
93,,,HJ,LW,Monitoring detailed mangrove hurricane damage and early recovery using multisource remote sensing data,"Diego Arturo Vizcaya-Martínez, Francisco Flores-de-Santiago, Luis Valderrama-Landeros, David Serrano, Ranulfo Rodríguez-Sobreyra, León Felipe Álvarez-Sánchez, Francisco Flores-Verdugo",Journal of Environmental Management,2022,10.1016/j.jenvman.2022.115830,"Due to their location in tropical latitudes, mangrove forests are susceptible to the impact of hurricanes and can be vastly damaged by their high-speed winds. Given the logistic difficulties regarding field surveys in mangroves, remote sensing approaches have been considered a reliable alternative. We quantified trends in damage and early signs of canopy recovery in a fringe Rhizophora mangle area of Marismas Nacionales, Mexico, following the landfall of Hurricane Willa in October 2018. We monitored (2016-2021) broad canopy defoliation using 21 vegetation indices (VI) from the Google Earth Engine tool (GEE). We also mapped a detailed canopy fragmen-tation and developed digital surface models (DSM) during five study periods (2018-2021) with a consumer-grade unmanned aerial vehicle (UAV) over an area of 100 ha. Based on optical data from the GEE time series, results indicated an abrupt decline in the overall mangrove canopy. The VARI index was the most reliable VI for the mangrove canopy classification from a standard RGB sensor. The impact of the hurricane caused an overall canopy defoliation of 79%. The series of UAV orthomosaics indicate a gradual recovery in the mangrove canopy, while the linear model predicts at least 8.5 years to reach pre-impact mangrove cover conditions. However, the sequence of DSM estimates that the vertical canopy configuration will require a longer time to achieve its original structure.",Mexico,Mexico,Wet tropical,Mangrove,Marismas Nacionales (Isla Palma),"22.622545028433123, -105.66893786059434",from study,"22.622545, -105.668938",Multi-rotor,DJI Phantom series,RGB,Built-in visible camera,ultra-high (not specified),,100 ha,100 ha,5 missions over 100 ha; vertical transects T2 and T5,yes,Oct 2018 - Nov 2021 (5 UAV missions),Multi-annual (5 missions 2018-2021),5 UAV missions: pre (Oct 2018) and post-hurricane (2019-2021),20 m (from paper),VARI; Canopy Height Model; Canopy Cover; Canopy Disturbance,DSM,Forest structure/dynamics,To quantify mangrove canopy damage and recovery after Hurricane Willa using UAV and satellite imagery,Hurricane caused 79% canopy defoliation. VARI effectively classified mangrove canopy. Gradual recovery observed 2018-2021.,Provided high-resolution orthomosaics and DSMs to quantify detailed canopy damage and track recovery after hurricane.,not reported,"Sentinel-2, Landsat-8, NOAA precipitation","Agisoft Metashape, Map Pilot"
103,,,HJ,LW,Near-canopy horizontal concentration heterogeneity of semivolatile oxygenated organic compounds and implications for 2-methyltetrols primary emissions,Jianhuai Ye et al.,Environmental Science: Atmospheres,2021,10.1039/d0ea00006j,"Semivolatile oxygenated organic compounds (SV-OVOCs) are important atmospheric species, in particular for the production and chemistry of atmospheric particulate matter and related impacts on air quality and climate. In this study, SV-OVOCs were collected in the horizontal plane of the roughness layer over the tropical forest in the central Amazon during the wet season of 2018. A sampler mounted to a copter-type, hovering unmanned aerial vehicle was used. Underlying the collection region, a plateau forest transitioned into a slope forest across several hundred meters. The concentrations of pinonic and pinic acids, which are monoterpene oxidation products, had no statistical difference over the two forests. By comparison, across the study period, differences in the concentration of 2-methyltetrols, which are products of isoprene oxidation, ranged from -70% to +480% over the two forests. The chemical lifetime of 2-methyltetrols in the atmosphere is sufficiently long that heterogeneity in the isoprene emission rate from the two forests followed by atmospheric oxidation does not explain the concentration heterogeneity of 2-methyltetrols. Standing waves and local meteorology also cannot account for the heterogeneity. Of the possibilities considered, the most plausible explanation is the direct emission from the forest of 2-methyltetrols produced through biological processes within the plants. Under this explanation, the rate of direct SV-OVOC emissions should be modulated by forest type and related environmental stressors. Direct emissions of SV-OVOCs should be more broadly considered for constraining and improving models of atmospheric composition, transport, and chemistry over tropical forests.",Brazil,USA,Wet tropical,Forest,Adolfo Ducke Forest Reserve (Manaus),"3.003° S, 59.940° W; 2.997° S, 59.936° W",from study,"-3.003000, -59.940000; -2.997000, -59.936000",Multi-rotor,DJI Matrice 600,Atmospheric sampler,Custom-built SV-OVOC sampler,not reported,,711 m transects (multiple locations),,Sampling over plateau vs slope forest transition,no,Feb-Mar 2018,Hourly (within 4 weeks),4 weeks sampling (20 Feb - 15 Mar 2018),near-canopy (same as Study 64),Atmospheric concentration,not reported,Carbon and nutrient fluxes,To investigate near-canopy horizontal heterogeneity of SV-OVOCs and implications for 2-methyltetrols emissions,2-methyltetrols concentrations varied 70-480% between forests; direct emissions from vegetation indicated.,Collected air samples at different locations and heights over forest canopy for SV-OVOC analysis.,not reported,Table S2 (Concentrations),not reported
105,,,HJ,LW,Generating a hyperspectral digital surface model using a hyperspectral 2D frame camera,"Raquel A. Oliveira, Antonio M.G. Tommaselli, Eija Honkavaara",ISPRS Journal of Photogrammetry and Remote Sensing,2019,10.1016/j.isprsjprs.2018.11.025,"Miniaturised 2D frame format hyperspectral camera technology that is suitable for small unmanned aerial vehicles (UAVs) has entered the market, making the generation of hyperspectral digital surface models (HDSMs) feasible. HDSMs offer a rigorous approach to capturing the target spectral and 3D geometric data. The main objective of this investigation was to study and develop techniques for the generation of HDSMs in forest areas using novel hyperspectral 2D frame camera technologies. An approach based on object-space image matching was developed, adapting the traditional vertical line locus (VLL) method for HDSM generation; this was then named the hyperspectral VLL (HVLL) approach. Additionally, image classification was introduced into the processing chain in order to adapt the matching parameters, based on different classes. We also proposed a method for extracting the spectral and viewing angle information of the points. An empirical study was carried out using UAV datasets from tropical and boreal forests using 2D format hyperspectral cameras, based on tuneable Fabry-Perot interferometer (FPI) technology. Quality assessment was performed using DSMs based on state-of-the-art commercial software and airborne laser scanning (ALS). The results showed that the proposed technique generated a high-quality HDSM in both tested environments. The HDSM had higher deviations over the continuous canopy cover than the digital surface models (DSMs) generated using commercial software. The method using image classification information outperformed the commercial approach with respect to the ability to measure ground points in shadowed areas and in canopy gaps. The proposed method is of great interest in supporting automated interpretations of novel multi- and hyperspectral imaging technologies, especially when applied complex objects, such as forests.",Brazil,Brazil,Moist tropical,Forest,Ponte Branca (Brazil),"22°24′51″S, 52°30′50″W",approximate,"-22.414167, -52.513889",Multi-rotor,SX8 (Brazil); Tarot 960 (Finland),"Hyperspectral, RGB",Rikola FPI2014 (Brazil); FPI prototype 2012b (Finland); Sony Nex7 (RGB),10 cm (Brazil); 6.7-8.8 cm (Finland),".08 m, .08 m",Brazil and Finland study blocks,,Two study sites (Brazil and Finland) with flying strips,no,Two sites on different days,Single campaign per site,Brazil (Aug 2016) and Finland (June 2014) on separate days,160 m (Brazil); 88 m (Finland),Canopy Height Model,not reported,Forest structure/dynamics,To develop techniques for generating hyperspectral digital surface models (HDSM) in forest areas using UAV,HVLLC method improved DSM accuracy in forest gaps (RMSE 0.28m vs 1.23m).,Collected hyperspectral images to develop and test HDSM generation method using HVLLC approach.,not reported,NA,"CMC software, Agisoft PhotoScan"
110,,,HJ,LW,Modeling Carbon Emissions of Post-Selective Logging in the Production Forests of Ulu Jelai Pahang Malaysia,"Siti Nor Maizah Saad, Wan Shafrina Wan Mohd Jaafar, Hamdan Omar, Khairul Nizam Abdul Maulud, Aisyah Marliza Muhmad Kamarulzaman, Esmaeel Adrah, Norzalyta Mohd Ghazali and Midhun Mohan",Remote Sensing,2023,10.3390/rs15041016,"Harvested timber and constructed infrastructure over the logging area leave massive damage that contributes to the emission of anthropogenic gases into the atmosphere. Carbon emissions from tropical deforestation and forest degradation are the second largest source of anthropogenic emissions of greenhouse gases. Even though the emissions vary from region to region, a significant amount of carbon emissions comes mostly from timber harvesting, which is tightly linked to the selective logging intensity. This study intended to utilize a remote sensing approach to quantify carbon emissions from selective logging activities in Ulu Jelai Forest Reserve, Pahang, Malaysia. To quantify the emissions, the relevant variables from the logging's impact were identified as a predictor in the model development and were listed as stump height, stump diameter, cross-sectional area, timber volume, logging gaps, road, skid trails, and incidental damage resulting from the logging process. The predictive performance of linear regression and machine learning models, namely support vector machine (SVM), random forest, and K-nearest neighbor, were examined to assess the carbon emission from this degraded forest. To test the different methods, a combination of ground inventory plots, unmanned aerial vehicles (UAV), and satellite imagery were analyzed, and the performance in terms of root mean square error (RMSE), bias, and coefficient of correlation (R-2) were calculated. Among the four models tested, the machine learning model SVM provided the best accuracy with an RMSE of 21.10% and a bias of 0.23% with an adjusted R-2 of 0.80. Meanwhile, the linear model performed second with an RMSE of 22.14%, a bias of 0.72%, and an adjusted R-2 of 0.75. This study demonstrates the efficacy of remotely sensed data to facilitate the conventional methods of quantifying carbon emissions from selective logging and promoting advanced assessments that are more effective, especially in massive logging areas and various forest conditions. Findings from this research will be useful in assisting the relevant authorities in optimizing logging practices to sustain forest carbon sequestration for climate change mitigation.",Malaysia,Malaysia,Wet tropical,Forest,Ulu Jelai Forest Reserve (Pahang),4˚ 34’ 25.17” N 101˚ 52’ 25.08” E,from study,"4.573658, 101.873633",Multi-rotor,DJI Phantom 3 Professional,RGB,Integrated Camera,0.60 m,0.6 m,48 ha (flying area),48 ha,Sampling plots with stump measurements,no,Aug 19-23 2019,Single campaign (Aug 19-23 2019),not reported - timing relative to logging unclear,90-172 m,Tree Count; Canopy Height Model; Canopy Disturbance,"Stump height, Stump diameter, Cross-sectional area, Incidental damage; Timber volume",Carbon and nutrient fluxes,To quantify carbon emissions from selective logging activities using UAV imagery and satellite data,SVM model best predicted carbon emissions (RMSE=21.1%). Logging gaps and roads were key predictors.,"Generated orthophoto, DSM, DTM, and CHM to extract logging metrics (stumps, gaps, roads) for carbon emission modeling.",Winrock carbon calculator,"Sentinel-2, Planetscope","Agisoft Metashape, ENVI, ArcGIS, R"
